10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
101-strings--theme-from-the-godfather	101 Strings	Theme From The Godfather
10cc--dreadlock-holiday	10cc	Dreadlock Holiday
10cc--i-m-not-in-love	10cc	I'm Not In Love
10cc--the-things-we-do-for-love	10cc	The Things We Do for Love
1910-fruitgum-company--simon-says	1910 Fruitgum Company	Simon Says
2-brothers-on-the-4th-floor--come-take-my-hand	2 Brothers on the 4th Floor	Come Take My Hand
2-brothers-on-the-4th-floor--dreams	2 Brothers on the 4th Floor	Dreams
2-brothers-on-the-4th-floor--let-me-be-free	2 Brothers on the 4th Floor	Let Me Be Free
2-brothers-on-the-4th-floor--never-alone	2 Brothers on the 4th Floor	Never Alone
2-the-core--have-a-nice-day	2 the Core	Have a Nice Day
2-unlimited--get-ready-for-this	2 Unlimited	Get Ready for This
2-unlimited--here-i-go	2 Unlimited	Here I Go
2-unlimited--let-the-beat-control-your-body	2 Unlimited	Let the Beat Control Your Body
2-unlimited--maximum-overdrive	2 Unlimited	Maximum Overdrive
2-unlimited--no-limit	2 Unlimited	No Limit (extended)
2-unlimited--no-limits	2 Unlimited	No Limits
2-unlimited--no-one	2 Unlimited	No One
2-unlimited--the-real-thing	2 Unlimited	The Real Thing
2-unlimited--tribal-dance	2 Unlimited	Tribal Dance (edit)
2-unlimited--twilight-zone	2 Unlimited	Twilight Zone
2-unlimited--workaholic	2 Unlimited	Workaholic
20-fingers--lick-it	20 Fingers	Lick It
20-fingers--short-dick-man	20 Fingers	Short Dick Man
2boys--i-won-t-let-you-down	2Boys	I Won't Let You Down
311--all-mixed-up	311	All Mixed Up
311--down	311	Down
311--t-p-combo	311	T & P Combo
38-special--caught-up-in-you	.38 Special	Caught Up In You
38-special--fantasy-girl	.38 Special	Fantasy Girl
3t--i-need-you	3T	I Need You
3t--why	3T	Why
4-non-blondes--what-s-up	4 Non Blondes	What's Up
702--where-my-girls-at	702	Where My Girls At
808-state--pacific-202	808 State	Pacific 202
883--andra-tutto-bene	883	Andra tutto bene ('58)
883--chiuditi-nel-cesso	883	Chiuditi nel cesso
883--come-mai	883	Come mai (feat. Fiorello)
883--con-un-deca	883	Con un deca
883--cumuni	883	Cumuni
883--dimmi-perche	883	Dimmi perche (remix)
883--gli-anni	883	Gli anni ('96)
883--grazie-mille	883	Grazie mille
883--hanno-ucciso-l-uomo-ragno	883	Hanno ucciso l'uomo ragno
883--innamorare-tanto	883	Innamorare tanto
883--io-ci-saro	883	Io ci saro'
883--la-dura-legge-del-gol	883	La dura legge del gol!
883--la-regola-dell-amico	883	La regola dell'amico
883--le-luci-di-natale	883	Le luci di Natale
883--nella-notte	883	Nella notte (Molella remix)
883--nessun-rimpianto	883	Nessun rimpianto
883--non-mi-arrendo	883	Non mi arrendo
883--non-ti-passa-piu	883	Non ti passa piu
883--nord-sud-ovest-est	883	Nord Sud Ovest Est
883--rotta-x-casa-di-dio	883	Rotta x casa di Dio
883--se-tornerai	883	Se tornerai
883--sei-un-mito	883	Sei un mito
883--senza-averti-qui	883	Senza averti qui
883--ti-sento-vivere	883	Ti sento vivere
883--tieni-il-tempo	883	Tieni il tempo
883--tutto-cio-che-ho	883	Tutto cio che ho
883--un-giorno-cosi	883	Un giorno cosi
883--una-canzone-d-amore	883	Una canzone d'amore
883--viaggio-al-centro-del-mondo	883	Viaggio al centro del mondo
911--the-day-we-find-love	911	The Day We Find Love
98-degrees--i-do	98 Degrees	I Do
98-degrees--she-s-out-of-my-life	98 Degrees	She's Out of My Life
98-degrees--the-hardest-thing	98 Degrees	The Hardest Thing
a-ha--hunting-high-and-low	a-ha	Hunting High and Low
a-ha--take-on-me	a-ha	Take On Me
a-ha--the-living-daylights	a-ha	The Living Daylights
a-ha--the-sun-always-shines-on-tv	a-ha	The Sun Always Shines on TV
a-taste-of-honey--boogie-oogie-oogie	A Taste of Honey	Boogie Oogie Oogie
a-taste-of-honey--sukiyaki	A Taste Of Honey	Sukiyaki
a-teens--mamma-mia	A*Teens	Mamma Mia
a-teens--super-trouper	A*Teens	Super Trouper
aaliyah--are-you-that-somebody	Aaliyah	Are You That Somebody
